Complaint,Category,Urgency,clean_complaint,Category_encoded,Urgency_encoded
I can’t add a new address — button does nothing.,Account & Shipping,Low,i can’t add a new address — button does nothing,0,2
Flash sale prices aren’t reflected during checkout. and I need help urgently,Promotions,Immediate,flash sale prices aren’t reflected during checkout and i need help urgently,5,1
System declined my payment without any reason. — this is very frustrating,Payments,Immediate,system declined my payment without any reason — this is very frustrating,3,1
The shipping company marked it as delivered to the wrong city. and I need help urgently,Order Tracking,Medium,the shipping company marked it as delivered to the wrong city and i need help urgently,2,3
Site logs me out randomly. which is unacceptable,Technical Issues,Medium,site logs me out randomly which is unacceptable,7,3
I never received the promised sign-up bonus. and I don't know what to do next,Promotions,Medium,i never received the promised signup bonus and i dont know what to do next,5,3
It looks like a returned item — packaging was already opened. — this is very frustrating,Product Issues,Low,it looks like a returned item — packaging was already opened — this is very frustrating,4,2
"Order timed out after payment, but money is gone.",Payments,Low,order timed out after payment but money is gone,3,2
No updates in 7 days — where is my stuff? even after multiple attempts,Order Tracking,Medium,no updates in days — where is my stuff even after multiple attempts,2,3
I paid for express delivery and it’s still not shipped. — this is very frustrating,Order Tracking,Low,i paid for express delivery and it’s still not shipped — this is very frustrating,2,2
The discount code I got by email doesn’t work on any items. even after multiple attempts,Promotions,High,the discount code i got by email doesn’t work on any items even after multiple attempts,5,0
Your support team said I’d get refunded — it's been a week. despite following all instructions,Refunds,Medium,your support team said i’d get refunded — its been a week despite following all instructions,6,3
It shipped to the wrong apartment. — this is very frustrating,Account & Shipping,Low,it shipped to the wrong apartment — this is very frustrating,0,2
"Order timed out after payment, but money is gone. — this is very frustrating",Payments,Medium,order timed out after payment but money is gone — this is very frustrating,3,3
I never received the promised sign-up bonus. even after multiple attempts,Promotions,Medium,i never received the promised signup bonus even after multiple attempts,5,3
Site logs me out randomly. and there's no explanation anywhere,Technical Issues,High,site logs me out randomly and theres no explanation anywhere,7,0
I’m stuck on the loading screen forever. which is unacceptable,Technical Issues,Immediate,i’m stuck on the loading screen forever which is unacceptable,7,1
No updates in 7 days — where is my stuff? — this is very frustrating,Order Tracking,Low,no updates in days — where is my stuff — this is very frustrating,2,2
Package was rerouted without telling me. — this is very frustrating,Order Tracking,High,package was rerouted without telling me — this is very frustrating,2,0
It has a foul odor like chemicals. which is unacceptable,Product Issues,High,it has a foul odor like chemicals which is unacceptable,4,0
I’m stuck on the loading screen forever. and I don't know what to do next,Technical Issues,Medium,i’m stuck on the loading screen forever and i dont know what to do next,7,3
I never received the promised sign-up bonus. which is unacceptable,Promotions,High,i never received the promised signup bonus which is unacceptable,5,0
I clicked on a 15% off ad and it vanished at checkout.,Promotions,Low,i clicked on a off ad and it vanished at checkout,5,2
I can’t add a new address — button does nothing. and I need help urgently,Account & Shipping,Medium,i can’t add a new address — button does nothing and i need help urgently,0,3
"The return was delivered, but no refund yet. and I need help urgently",Refunds,Low,the return was delivered but no refund yet and i need help urgently,6,2
Duplicate orders were placed by mistake and I can't cancel. despite following all instructions,Order Issues,Medium,duplicate orders were placed by mistake and i cant cancel despite following all instructions,1,3
